"","genus","time_moisture","b.boot.median","d.boot.median"
"303","g_unclassified_Bacillales","x100_t72",15183173.1738373,-2968586.51930836
"304","g_unclassified_Bacteria","x100_t168",2937197.47161377,-9064592.20335336
"305","g_unclassified_Bacteria","x100_t24",2055396.72578527,-23982882.1725907
"306","g_unclassified_Bacteria","x100_t3",49537182.4220886,-384130752.563817
"307","g_unclassified_Bacteria","x100_t48",5951182.11554378,-21229954.8287727
"308","g_unclassified_Bacteria","x100_t72",3325226.37492147,-16072081.7966242
"309","g_unclassified_Bacteria","x50_t168",1111639.09986432,-291771.564133159
"310","g_unclassified_Bacteria","x50_t24",4468424.10678958,-783151.437417275
"311","g_unclassified_Bacteria","x50_t3",6459614.73931088,-10916145.2417381
"312","g_unclassified_Bacteria","x50_t48",1092211.61718477,-1010232.97705808
"313","g_unclassified_Bacteria","x50_t72",2447180.38758472,-9775.9707732526
"314","g_unclassified_Bacteroidetes","x100_t24",194773.562617783,-108511.996540684
"315","g_unclassified_Bacteroidetes","x100_t48",126486.222377698,-57608.0384614483
"316","g_unclassified_Betaproteobacteria","x100_t168",4766206.91237373,-5692450.25355524
"317","g_unclassified_Betaproteobacteria","x100_t24",1687858.91346133,-6025961.97248752
"318","g_unclassified_Betaproteobacteria","x100_t3",42323421.5887247,-239116832.281785
"319","g_unclassified_Betaproteobacteria","x100_t48",8257165.00115882,-11484249.5641159
"320","g_unclassified_Betaproteobacteria","x100_t72",4498654.90190885,-3284652.03596606
"321","g_unclassified_Betaproteobacteria","x50_t168",1935711.58370659,-124726.172752054
"322","g_unclassified_Betaproteobacteria","x50_t3",3419303.1956975,-2492736.77861152
"323","g_unclassified_Betaproteobacteria","x50_t48",1163264.69633158,-943767.053928501
"324","g_unclassified_Burkholderiales","x100_t168",921781.815909564,-57166.237251645
"325","g_unclassified_Burkholderiales","x100_t48",3120773.10325667,-1578969.45290975
"326","g_unclassified_Burkholderiales","x100_t72",2076157.03413879,-228817.824491995
"327","g_unclassified_Caldilineaceae","x100_t72",45026.8069926219,-113384.173658708
"328","g_unclassified_Chitinophagaceae","x100_t168",945915.647568801,-815360.667700068
"329","g_unclassified_Chitinophagaceae","x100_t24",494472.342220866,-3080656.29719238
"330","g_unclassified_Chitinophagaceae","x100_t3",6101438.83881874,-48125642.0124518
"331","g_unclassified_Chitinophagaceae","x100_t48",2094005.23712891,-2710270.1851156
"332","g_unclassified_Chitinophagaceae","x100_t72",1904037.80510851,-158803.669288369
"333","g_unclassified_Chloroflexi","x100_t168",97631.2950027219,-96981.2695226535
"334","g_unclassified_Chloroflexi","x100_t48",769161.494140829,-413275.676056548
"335","g_unclassified_Chloroflexi","x100_t72",48891.1857396168,-259304.053248604
"336","g_unclassified_Comamonadaceae","x100_t168",4134486.2448865,-1529705.78571686
"337","g_unclassified_Comamonadaceae","x100_t24",10109579.287802,-3927950.11768927
"338","g_unclassified_Comamonadaceae","x100_t3",38229843.1082174,-99401575.226934
"339","g_unclassified_Comamonadaceae","x100_t48",11485878.5035201,-2238210.67512719
"340","g_unclassified_Comamonadaceae","x100_t72",4331509.47496782,-1193404.0988929
"341","g_unclassified_Cytophagaceae","x100_t48",52621.8001864362,-42871.1757725935
"342","g_unclassified_Cytophagales","x100_t168",108942.441871961,-124265.010077741
"343","g_unclassified_Deltaproteobacteria","x100_t72",557275.815028766,-27381.7210117425
"344","g_unclassified_Enterobacteriaceae","x100_t168",16563361.6841893,-13249693.9263747
"345","g_unclassified_Enterobacteriaceae","x100_t3",192292219.256365,-669008663.872701
"346","g_unclassified_Enterobacteriaceae","x100_t48",46556402.9007865,-10932817.5363488
"347","g_unclassified_Flavobacteriaceae","x100_t168",1733744.39192345,-333700.42698261
"348","g_unclassified_Flavobacteriaceae","x100_t3",17344321.6165584,-24323101.3801961
"349","g_unclassified_Gammaproteobacteria","x100_t168",2316798.66812207,-3339105.1586993
"350","g_unclassified_Gammaproteobacteria","x100_t24",1963003.78653878,-8810063.17852472
"351","g_unclassified_Gammaproteobacteria","x100_t3",30767287.5143173,-208626241.409073
"352","g_unclassified_Gammaproteobacteria","x100_t48",4279472.25217648,-6593506.96116565
"353","g_unclassified_Gammaproteobacteria","x100_t72",3933049.33681933,-2984565.72126685
"354","g_unclassified_Gammaproteobacteria","x50_t168",824707.190380677,-67484.2184951215
"355","g_unclassified_Geodermatophilaceae","x100_t168",305169.256929789,-514315.117296154
"356","g_unclassified_Geodermatophilaceae","x100_t24",41540.3601516529,-419644.220165029
"357","g_unclassified_Geodermatophilaceae","x100_t3",4851626.23797365,-21348151.4227173
"358","g_unclassified_Geodermatophilaceae","x100_t48",792161.367492978,-504649.806616554
"359","g_unclassified_Geodermatophilaceae","x100_t72",174798.201027894,-53510.2800387742
"360","g_unclassified_Geodermatophilaceae","x50_t168",137624.685306099,-30173.5246079045
"361","g_unclassified_Micromonosporaceae","x100_t168",224461.426423226,-1498967.60299278
"362","g_unclassified_Micromonosporaceae","x100_t24",160748.257570132,-1044786.57150429
"363","g_unclassified_Micromonosporaceae","x100_t3",32632800.9351497,-86442703.4953816
"364","g_unclassified_Micromonosporaceae","x100_t48",624118.362232324,-561269.834084263
"365","g_unclassified_Micromonosporaceae","x50_t168",240441.983919666,-190164.684869171
"366","g_unclassified_Micromonosporaceae","x50_t3",2159028.77982788,-1643956.69830235
"367","g_unclassified_Micromonosporaceae","x50_t72",834627.675824637,-126642.125107626
"368","g_unclassified_Myxococcales","x100_t168",2092181.35410199,-330231.275618529
"369","g_unclassified_Myxococcales","x100_t24",201440.50042475,-3945288.06013971
"370","g_unclassified_Myxococcales","x100_t3",4760135.44757682,-38791639.6281719
"371","g_unclassified_Myxococcales","x100_t48",2709691.66285311,-3248857.61890913
"372","g_unclassified_Myxococcales","x100_t72",1702127.14801116,-785009.139803632
"373","g_unclassified_Myxococcales","x50_t168",985340.883010523,-34108.7965088505
"374","g_unclassified_Myxococcales","x50_t48",782857.80072284,-185782.156829702
"375","g_unclassified_Nocardioidaceae","x100_t168",329364.651064076,-193255.222874063
